seed,M,method,mmd2
42,8,pSGLD,0.05404890372379567
42,8,MMD$^2$,0.04941470801665504
42,8,Sinkhorn,0.07733597311593754
42,16,pSGLD,0.07608131490324221
42,16,MMD$^2$,0.0826830632501857
42,16,Sinkhorn,0.09827745170898361
42,32,pSGLD,0.08074016029653519
42,32,MMD$^2$,0.09546479554232379
42,32,Sinkhorn,0.11968585116713326
42,64,pSGLD,0.10313752947235766
42,64,MMD$^2$,0.18244261445269228
42,64,Sinkhorn,0.17521754311821947
42,128,pSGLD,0.09881671002191006
42,128,MMD$^2$,0.19580258636851267
42,128,Sinkhorn,0.19186953920305405
42,256,pSGLD,0.10405510132508711
42,256,MMD$^2$,0.21512128988160195
42,256,Sinkhorn,0.21765120755607015
42,512,pSGLD,0.09700069890152896
42,512,MMD$^2$,0.2133373202459119
42,512,Sinkhorn,0.21601941444962858
42,1024,pSGLD,0.10112106601456639
42,1024,MMD$^2$,0.21245357387510877
42,1024,Sinkhorn,0.21468257807953162
